X	EAF2	SPIB	KLF1	POU2F2	IKZF3	SPI1	BCL11A	IKZF1	IRF5	IRF8	NFE2	BTG2	AKNA	TCF7	GFI1B	KLF2	JUNB	GATA1	TAL1	MYB
PM.PS.0035.T.genes.results	 2.65471193	 0.22368616	 0.01705700	 0.88205436	 1.17310021	 2.19504222	 3.29975933	 1.78001602	 1.45591881	 8.92443792	 0.14223945	11.87692291	 6.13790983	 4.51398678	 0.04942553	 0.55156849	17.21423356	 0.01705700	 0.34868153	39.24716349
PM.AS.0048.T.genes.results	 6.137909825	 0.095832492	 0.095832492	 0.095832492	 0.551568493	 4.513986777	 3.299759333	 0.882054361	 2.195042217	17.214233557	 0.348681526	 8.924437921	 1.780016019	 1.455918811	 0.008988151	 2.654711932	39.247163493	 0.095832492	 1.173100207	11.876922914
PM.AS.0049.T.genes.results	 8.92443792	 0.45012501	 0.01705700	 0.45012501	 1.17310021	 3.29975933	 4.51398678	 1.45591881	 2.65471193	17.21423356	 0.14223945	 6.13790983	 2.19504222	 0.88205436	 0.04942553	 1.78001602	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.PS.0021.T.genes.results	 1.78001602	 0.55156849	 0.04942553	 0.34868153	 1.17310021	 1.45591881	 2.65471193	 2.19504222	 0.88205436	 8.92443792	 0.22368616	11.87692291	 6.13790983	 4.51398678	 0.01705700	 3.29975933	39.24716349	 0.01705700	 0.14223945	17.21423356
PM.PU.1014.T.genes.results	 3.299759333	 0.551568493	 0.025125843	 0.223686163	 0.882054361	 1.455918811	 4.513986777	 2.195042217	 1.780016019	 8.924437921	 0.348681526	11.876922914	 6.137909825	 2.654711932	 0.095832492	 1.173100207	39.247163493	 0.008988151	 0.095832492	17.214233557
PM.AU.0014.T.genes.results	 6.137909825	 0.348681526	 0.049425531	 0.049425531	 0.551568493	 1.455918811	 3.299759333	 0.882054361	 1.173100207	 4.513986777	 8.924437921	17.214233557	 1.987529118	 1.987529118	 0.223686163	 2.654711932	39.247163493	 0.008988151	 0.049425531	11.876922914
PM.AS.0027.T.genes.results	 6.13790983	 0.22368616	 0.09583249	 0.34868153	 0.88205436	 3.29975933	 2.65471193	 1.17310021	 1.78001602	 8.92443792	 0.09583249	11.87692291	 2.19504222	 1.45591881	 0.01705700	 4.51398678	39.24716349	 0.01705700	 0.55156849	17.21423356
PM.PU.1009.T.genes.results	 4.51398678	 0.34868153	 0.02512584	 0.55156849	 1.45591881	 1.78001602	 3.29975933	 2.65471193	 0.88205436	 8.92443792	 0.14223945	11.87692291	 6.13790983	 2.19504222	 0.02512584	 1.17310021	39.24716349	 0.02512584	 0.22368616	17.21423356
PM.AA.0063.T.genes.results	 6.137909825	 4.513986777	 0.008988151	 0.348681526	 2.195042217	 1.455918811	 1.173100207	 2.654711932	 0.882054361	11.876922914	 0.025125843	17.214233557	 3.299759333	 0.551568493	 0.142239454	 1.780016019	39.247163493	 0.049425531	 0.223686163	 8.924437921
PM.AU.0016.T.genes.results	17.21423356	 0.02512584	 0.02512584	 0.22368616	 0.71681143	 3.29975933	 5.32594830	 1.61796741	 0.22368616	11.87692291	 2.42487707	 8.92443792	 1.17310021	 1.61796741	 0.02512584	 2.42487707	39.24716349	 0.22368616	 0.71681143	 5.32594830
PM.AU.0085.T.genes.results	 3.299759333	 0.450125010	 0.008988151	 0.882054361	 1.455918811	 8.924437921	 1.173100207	 6.137909825	 2.195042217	11.876922914	 0.049425531	17.214233557	 4.513986777	 0.450125010	 0.142239454	 2.654711932	39.247163493	 0.025125843	 0.223686163	 1.780016019
PM.AU.0022.T.genes.results	 4.513986777	 0.551568493	 0.008988151	 0.348681526	 1.455918811	 2.654711932	 1.173100207	 2.195042217	 1.780016019	 8.924437921	 0.095832492	17.214233557	 6.137909825	 0.882054361	 0.025125843	 3.299759333	39.247163493	 0.095832492	 0.223686163	11.876922914
PM.AU.0073.T.genes.results	 6.137909825	 1.455918811	 0.008988151	 0.223686163	 1.780016019	 3.299759333	 0.882054361	 2.654711932	 1.173100207	11.876922914	 0.142239454	17.214233557	 4.513986777	 0.551568493	 0.025125843	 2.195042217	39.247163493	 0.049425531	 0.348681526	 8.924437921
PM.AS.0014.T.genes.results	 6.137909825	 0.551568493	 0.008988151	 0.049425531	 0.882054361	 3.299759333	 2.195042217	 1.780016019	 2.654711932	 8.924437921	 0.223686163	17.214233557	 4.513986777	 1.173100207	 0.142239454	 1.455918811	39.247163493	 0.025125843	 0.348681526	11.876922914
PM.AU.0081.T.genes.results	 2.195042217	 0.095832492	 0.095832492	 0.286183845	 0.551568493	 2.654711932	 6.137909825	 1.173100207	 1.780016019	17.214233557	 1.455918811	 8.924437921	 3.299759333	 4.513986777	 0.025125843	 0.882054361	11.876922914	 0.008988151	 0.286183845	39.247163493
PM.AU.0049.T.genes.results	 8.92443792	 0.34868153	 0.01705700	 0.55156849	 0.88205436	 6.13790983	 1.17310021	 1.78001602	 1.45591881	11.87692291	 0.22368616	17.21423356	 3.29975933	 2.65471193	 0.14223945	 2.19504222	39.24716349	 0.01705700	 0.04942553	 4.51398678
PM.PA.1024.T.genes.results	 8.92443792	 0.45012501	 0.04942553	 0.45012501	 4.51398678	 2.65471193	 1.78001602	 2.19504222	 1.17310021	 6.13790983	 0.14223945	17.21423356	 3.29975933	 0.88205436	 0.01705700	 1.45591881	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.AS.0007.T.genes.results	 8.92443792	 0.34868153	 0.01705700	 0.18296281	 1.17310021	 4.51398678	 1.78001602	 2.19504222	 0.55156849	17.21423356	 0.18296281	11.87692291	 1.45591881	 2.65471193	 0.01705700	 3.29975933	39.24716349	 0.04942553	 0.88205436	 6.13790983
PM.AU.0070.T.genes.results	 2.65471193	 0.18296281	 0.01705700	 0.88205436	 0.55156849	 3.29975933	 6.13790983	 1.17310021	 2.19504222	 8.92443792	 0.04942553	11.87692291	 1.45591881	 4.51398678	 0.18296281	 1.78001602	39.24716349	 0.01705700	 0.34868153	17.21423356
PM.AU.0017.T.genes.results	11.876922914	 0.551568493	 0.008988151	 0.348681526	 1.780016019	 2.195042217	 0.882054361	 2.654711932	 1.455918811	 3.299759333	 0.142239454	17.214233557	 6.137909825	 1.173100207	 0.049425531	 4.513986777	39.247163493	 0.025125843	 0.223686163	 8.924437921
PM.AU.0025.T.genes.results	 2.19504222	 0.28618384	 0.02512584	 0.88205436	 0.55156849	 4.51398678	 1.45591881	 1.17310021	 6.13790983	 8.92443792	 0.14223945	17.21423356	 2.65471193	 1.78001602	 0.02512584	 3.29975933	39.24716349	 0.02512584	 0.28618384	11.87692291
PM.AS.0031.T.genes.results	 4.513986777	 0.348681526	 0.025125843	 0.142239454	 1.173100207	 2.195042217	 6.137909825	 0.882054361	 1.780016019	 8.924437921	 0.551568493	11.876922914	 2.654711932	 3.299759333	 0.049425531	 1.455918811	39.247163493	 0.008988151	 0.223686163	17.214233557
PM.AU.0002.T.genes.results	 8.924437921	 2.195042217	 0.008988151	 0.182962808	 0.551568493	 3.906873055	 1.173100207	 1.455918811	 1.780016019	 6.137909825	 0.182962808	17.214233557	 2.654711932	 0.882054361	 0.182962808	 3.906873055	39.247163493	 0.182962808	 0.025125843	11.876922914
PM.PS.0007.T.genes.results	 2.654711932	 0.551568493	 0.049425531	 0.223686163	 0.348681526	 1.455918811	 6.137909825	 0.882054361	 1.780016019	 8.924437921	 4.513986777	11.876922914	 3.299759333	 2.195042217	 0.025125843	 1.173100207	39.247163493	 0.008988151	 0.142239454	17.214233557
PM.AS.0010.T.genes.results	 4.513986777	 0.142239454	 0.025125843	 0.348681526	 0.882054361	 1.780016019	 3.299759333	 1.173100207	 6.137909825	11.876922914	 0.551568493	17.214233557	 1.455918811	 2.195042217	 0.049425531	 2.654711932	39.247163493	 0.008988151	 0.223686163	 8.924437921
PM.PS.0031.T.genes.results	 2.195042217	 0.223686163	 0.008988151	 0.551568493	 0.882054361	 1.780016019	 3.299759333	 1.455918811	 6.137909825	 8.924437921	 0.142239454	11.876922914	 4.513986777	 2.654711932	 0.037275687	 1.173100207	39.247163493	 0.037275687	 0.348681526	17.214233557
PM.AU.0032.T.genes.results	 6.13790983	 1.02757728	 0.01705700	 0.34868153	 1.45591881	 3.29975933	 2.19504222	 1.78001602	 1.02757728	 8.92443792	 0.18296281	17.21423356	 2.65471193	 0.55156849	 0.18296281	 4.51398678	39.24716349	 0.01705700	 0.04942553	11.87692291
PM.AS.0006.T.genes.results	 8.92443792	 0.18296281	 0.02512584	 0.71681143	 0.71681143	 3.29975933	 2.42487707	 1.45591881	 1.17310021	 6.13790983	 0.02512584	17.21423356	 4.51398678	 2.42487707	 0.34868153	 1.78001602	39.24716349	 0.18296281	 0.02512584	11.87692291
PM.AU.0069.T.genes.results	 4.51398678	 0.22368616	 0.01705700	 0.34868153	 0.88205436	 1.78001602	 3.29975933	 1.17310021	 2.19504222	11.87692291	 0.09583249	 8.92443792	 1.45591881	 6.13790983	 0.09583249	 2.65471193	39.24716349	 0.01705700	 0.55156849	17.21423356
PM.PS.0024.T.genes.results	 2.195042217	 0.223686163	 0.142239454	 0.551568493	 1.173100207	 6.137909825	 2.654711932	 1.780016019	 1.455918811	17.214233557	 0.025125843	 8.924437921	 4.513986777	 0.882054361	 0.049425531	 3.299759333	39.247163493	 0.008988151	 0.348681526	11.876922914
PM.AA.0061.T.genes.results	 6.137909825	 0.348681526	 0.008988151	 0.223686163	 4.513986777	 2.654711932	 1.455918811	 3.299759333	 1.780016019	 8.924437921	 0.142239454	11.876922914	 2.195042217	 0.882054361	 0.049425531	 1.173100207	39.247163493	 0.025125843	 0.551568493	17.214233557
PM.PS.0003.T.genes.results	 5.325948301	 0.348681526	 0.095832492	 0.551568493	 0.882054361	 2.977235633	 1.455918811	 1.173100207	 2.977235633	17.214233557	 0.095832492	11.876922914	 2.195042217	 1.780016019	 0.025125843	 8.924437921	39.247163493	 0.008988151	 0.223686163	 5.325948301
PM.AS.0050.T.genes.results	 6.13790983	 0.09583249	 0.09583249	 0.34868153	 0.88205436	 2.65471193	 3.29975933	 1.45591881	 1.17310021	17.21423356	 0.22368616	11.87692291	 1.78001602	 2.19504222	 0.01705700	 4.51398678	39.24716349	 0.01705700	 0.55156849	 8.92443792
PM.PS.0036.T.genes.results	 3.299759333	 1.455918811	 0.037275687	 0.348681526	 0.551568493	 4.513986777	 2.195042217	 1.173100207	 2.654711932	11.876922914	 0.037275687	 8.924437921	 6.137909825	 0.882054361	 0.142239454	 1.780016019	39.247163493	 0.008988151	 0.223686163	17.214233557
PM.AU.0009.T.genes.results	 6.13790983	 0.55156849	 0.01705700	 0.34868153	 0.88205436	 2.65471193	 3.29975933	 1.78001602	 1.17310021	 8.92443792	 0.09583249	17.21423356	 2.19504222	 1.45591881	 0.01705700	 4.51398678	39.24716349	 0.09583249	 0.22368616	11.87692291
PM.AU.0055.T.genes.results	11.876922914	 0.551568493	 0.037275687	 0.223686163	 0.882054361	 3.906873055	 2.654711932	 1.617967415	 3.906873055	17.214233557	 0.142239454	 6.137909825	 1.617967415	 1.173100207	 0.008988151	 2.195042217	39.247163493	 0.037275687	 0.348681526	 8.924437921
PM.AS.0029.T.genes.results	 4.513986777	 0.025125843	 0.095832492	 0.551568493	 1.173100207	 6.137909825	 3.299759333	 1.455918811	 2.654711932	11.876922914	 0.223686163	 8.924437921	 1.780016019	 0.882054361	 0.095832492	 2.195042217	39.247163493	 0.008988151	 0.348681526	17.214233557
PM.AS.0040.T.genes.results	 6.13790983	 0.28618384	 0.28618384	 0.02512584	 1.45591881	 1.45591881	 4.51398678	 0.88205436	 2.19504222	 8.92443792	 0.28618384	17.21423356	 3.29975933	 2.65471193	 0.02512584	 1.45591881	39.24716349	 0.02512584	 0.28618384	11.87692291
PM.PS.0029.T.genes.results	 6.137909825	 0.182962808	 0.025125843	 0.551568493	 1.173100207	 1.780016019	 2.654711932	 1.455918811	 2.195042217	11.876922914	 0.182962808	 8.924437921	 4.513986777	 3.299759333	 0.008988151	 0.882054361	39.247163493	 0.049425531	 0.348681526	17.214233557
PM.AU.0037.T.genes.results	 6.137909825	 2.654711932	 0.049425531	 0.049425531	 0.716811427	 2.195042217	 0.716811427	 1.617967415	 1.173100207	 8.924437921	 0.049425531	11.876922914	 3.299759333	 1.617967415	 0.348681526	 4.513986777	39.247163493	 0.008988151	 0.223686163	17.214233557
PM.AU.0074.T.genes.results	 2.654711932	 0.142239454	 0.008988151	 0.348681526	 1.173100207	 3.299759333	 0.882054361	 1.780016019	 4.513986777	 8.924437921	 0.142239454	11.876922914	 6.137909825	 2.195042217	 0.025125843	 1.455918811	39.247163493	 0.142239454	 0.551568493	17.214233557
PM.AA.0065.T.genes.results	 4.51398678	 0.55156849	 0.04942553	 0.22368616	 0.88205436	 6.13790983	 1.78001602	 2.19504222	 1.45591881	17.21423356	 0.34868153	 8.92443792	 2.65471193	 1.17310021	 0.01705700	 3.29975933	39.24716349	 0.01705700	 0.14223945	11.87692291
PM.PS.0033.T.genes.results	 1.780016019	 0.049425531	 0.049425531	 0.348681526	 0.882054361	 2.195042217	 3.299759333	 1.455918811	 2.654711932	17.214233557	 0.551568493	 8.924437921	 4.513986777	 6.137909825	 0.049425531	 1.173100207	39.247163493	 0.008988151	 0.223686163	11.876922914
PM.AS.0028.T.genes.results	 1.780016019	 0.882054361	 0.025125843	 0.348681526	 0.049425531	 3.299759333	 8.924437921	 0.551568493	 1.455918811	 2.654711932	 1.173100207	11.876922914	 2.195042217	 6.137909825	 0.142239454	 4.513986777	39.247163493	 0.008988151	 0.223686163	17.214233557
PM.AS.0011.T.genes.results	 6.137909825	 0.348681526	 0.025125843	 0.095832492	 0.882054361	 2.654711932	 3.299759333	 1.455918811	 4.513986777	17.214233557	 0.551568493	 8.924437921	 1.173100207	 2.195042217	 0.095832492	 1.780016019	39.247163493	 0.008988151	 0.223686163	11.876922914
PM.AU.0004.T.genes.results	 8.92443792	 0.22368616	 0.04942553	 0.55156849	 1.17310021	 3.29975933	 2.19504222	 1.78001602	 2.65471193	17.21423356	 0.14223945	 6.13790983	 1.45591881	 0.88205436	 0.01705700	 4.51398678	39.24716349	 0.01705700	 0.34868153	11.87692291
PM.AS.0017.T.genes.results	 6.137909825	 0.551568493	 0.025125843	 0.286183845	 1.173100207	 1.455918811	 4.513986777	 0.882054361	 2.195042217	11.876922914	 0.286183845	 8.924437921	 2.654711932	 1.780016019	 0.142239454	 3.299759333	39.247163493	 0.008988151	 0.049425531	17.214233557
PM.AU.0082.T.genes.results	 2.654711932	 0.551568493	 0.008988151	 0.882054361	 1.455918811	 4.513986777	 0.348681526	 3.299759333	 1.780016019	 8.924437921	 0.142239454	17.214233557	 6.137909825	 1.173100207	 0.049425531	 2.195042217	39.247163493	 0.025125843	 0.223686163	11.876922914
PM.AS.0020.T.genes.results	 8.92443792	 0.34868153	 0.09583249	 0.71681143	 1.45591881	 3.29975933	 1.17310021	 1.78001602	 2.65471193	17.21423356	 0.09583249	 4.51398678	 2.19504222	 0.71681143	 0.01705700	 6.13790983	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.AU.0090.T.genes.results	 3.29975933	 0.55156849	 0.01705700	 0.22368616	 0.88205436	 1.45591881	 6.13790983	 1.17310021	 1.78001602	17.21423356	 0.14223945	 8.92443792	 4.51398678	 2.65471193	 0.01705700	 2.19504222	39.24716349	 0.04942553	 0.34868153	11.87692291
PM.PS.0028.T.genes.results	 2.19504222	 0.22368616	 0.04942553	 0.55156849	 1.17310021	 6.13790983	 0.88205436	 2.65471193	 4.51398678	11.87692291	 0.34868153	17.21423356	 3.29975933	 1.45591881	 0.01705700	 1.78001602	39.24716349	 0.01705700	 0.14223945	 8.92443792
PM.AU.0066.T.genes.results	 4.513986777	 0.551568493	 0.008988151	 0.348681526	 0.882054361	 6.137909825	 1.780016019	 2.195042217	 2.654711932	 8.924437921	 0.142239454	11.876922914	 3.299759333	 1.173100207	 0.037275687	 1.455918811	39.247163493	 0.037275687	 0.223686163	17.214233557
PM.PU.1010.T.genes.results	 1.45591881	 0.55156849	 0.01705700	 0.34868153	 0.88205436	 6.13790983	 3.29975933	 1.78001602	 1.17310021	 8.92443792	 0.14223945	17.21423356	 4.51398678	 2.19504222	 0.04942553	 2.65471193	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.PS.0041.T.genes.results	 1.780016019	 0.551568493	 0.008988151	 0.223686163	 0.882054361	 6.137909825	 2.195042217	 1.455918811	 1.173100207	17.214233557	 0.348681526	11.876922914	 3.299759333	 4.513986777	 0.025125843	 2.654711932	39.247163493	 0.049425531	 0.142239454	 8.924437921
PM.PU.1002.T.genes.results	 1.61796741	 0.22368616	 0.01705700	 0.88205436	 0.55156849	 1.61796741	 2.65471193	 2.19504222	 3.29975933	 8.92443792	 0.14223945	17.21423356	 6.13790983	 4.51398678	 0.04942553	 1.17310021	39.24716349	 0.01705700	 0.34868153	11.87692291
PM.PS.0040.T.genes.results	 4.513986777	 0.882054361	 0.025125843	 0.223686163	 1.455918811	 2.195042217	 2.654711932	 1.780016019	 0.551568493	11.876922914	 0.142239454	 8.924437921	 6.137909825	 3.299759333	 0.049425531	 1.173100207	39.247163493	 0.008988151	 0.348681526	17.214233557
PM.AU.0089.T.genes.results	 6.137909825	 0.223686163	 0.037275687	 0.551568493	 4.513986777	 2.195042217	 2.654711932	 1.780016019	 1.027577284	17.214233557	 0.037275687	 8.924437921	 3.299759333	 1.455918811	 0.142239454	 1.027577284	39.247163493	 0.008988151	 0.348681526	11.876922914
PM.AU.0086.T.genes.results	 6.137909825	 1.780016019	 0.008988151	 0.348681526	 2.195042217	 2.654711932	 0.551568493	 3.299759333	 0.882054361	 8.924437921	 0.142239454	17.214233557	 4.513986777	 1.173100207	 0.025125843	 1.455918811	39.247163493	 0.049425531	 0.223686163	11.876922914
PM.AU.0077.T.genes.results	 4.513986777	 0.348681526	 0.008988151	 0.223686163	 1.455918811	 6.137909825	 1.173100207	 2.195042217	 1.780016019	11.876922914	 0.142239454	17.214233557	 3.299759333	 0.882054361	 0.049425531	 2.654711932	39.247163493	 0.025125843	 0.551568493	 8.924437921
PM.AS.0045.T.genes.results	 2.195042217	 0.551568493	 0.025125843	 0.095832492	 0.882054361	 1.780016019	 6.137909825	 1.455918811	 4.513986777	 8.924437921	 0.348681526	17.214233557	 3.299759333	 2.654711932	 0.223686163	 1.173100207	39.247163493	 0.008988151	 0.095832492	11.876922914
PM.AU.0048.T.genes.results	 4.51398678	 0.55156849	 0.01705700	 0.14223945	 0.34868153	 2.19504222	 6.13790983	 1.17310021	 1.45591881	 8.92443792	 0.88205436	17.21423356	 3.29975933	 2.65471193	 0.04942553	 1.78001602	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.AS.0047.T.genes.results	 3.299759333	 0.551568493	 0.049425531	 0.286183845	 0.882054361	 1.780016019	 6.137909825	 1.173100207	 2.195042217	 8.924437921	 0.049425531	11.876922914	 2.654711932	 1.455918811	 0.286183845	 4.513986777	39.247163493	 0.008988151	 0.049425531	17.214233557
PM.AS.0044.T.genes.results	 8.924437921	 0.286183845	 0.286183845	 0.551568493	 1.173100207	 3.299759333	 4.513986777	 1.780016019	 2.654711932	17.214233557	 0.025125843	 6.137909825	 2.195042217	 1.455918811	 0.095832492	 0.882054361	39.247163493	 0.008988151	 0.095832492	11.876922914
PM.PS.0046.T.genes.results	 6.137909825	 0.551568493	 0.025125843	 0.223686163	 1.173100207	 2.195042217	 3.299759333	 1.455918811	 1.780016019	11.876922914	 0.142239454	 8.924437921	 4.513986777	 2.654711932	 0.049425531	 0.882054361	39.247163493	 0.008988151	 0.348681526	17.214233557
PM.AU.0075.T.genes.results	 6.137909825	 1.780016019	 0.008988151	 0.348681526	 1.173100207	 3.299759333	 0.882054361	 2.654711932	 2.195042217	 8.924437921	 0.025125843	17.214233557	 4.513986777	 0.551568493	 0.142239454	 1.455918811	39.247163493	 0.049425531	 0.223686163	11.876922914
PM.AU.0036.T.genes.results	 1.780016019	 0.095832492	 0.025125843	 0.348681526	 0.882054361	 2.195042217	 3.299759333	 1.455918811	 1.173100207	 8.924437921	 0.095832492	11.876922914	 4.513986777	 6.137909825	 0.223686163	 2.654711932	39.247163493	 0.008988151	 0.551568493	17.214233557
PM.AS.0004.T.genes.results	 8.92443792	 0.28618384	 0.01705700	 0.28618384	 0.88205436	 2.65471193	 4.51398678	 1.17310021	 3.29975933	17.21423356	 0.14223945	 6.13790983	 1.45591881	 1.78001602	 0.01705700	 2.19504222	39.24716349	 0.04942553	 0.55156849	11.87692291
PM.PU.1004.T.genes.results	 1.61796741	 0.22368616	 0.01705700	 0.88205436	 0.55156849	 1.61796741	 2.65471193	 2.19504222	 3.29975933	 8.92443792	 0.14223945	17.21423356	 6.13790983	 4.51398678	 0.04942553	 1.17310021	39.24716349	 0.01705700	 0.34868153	11.87692291
PM.AU.0046.T.genes.results	 6.13790983	 0.55156849	 0.01705700	 0.34868153	 0.88205436	 2.19504222	 1.45591881	 1.78001602	 4.51398678	 8.92443792	 0.14223945	17.21423356	 2.97723563	 1.17310021	 0.04942553	 2.97723563	39.24716349	 0.01705700	 0.22368616	11.87692291
PM.AU.0052.T.genes.results	 6.137909825	 0.223686163	 0.025125843	 0.551568493	 1.314509509	 2.654711932	 0.882054361	 2.195042217	 1.780016019	17.214233557	 0.142239454	11.876922914	 4.513986777	 1.314509509	 0.049425531	 3.299759333	39.247163493	 0.008988151	 0.348681526	 8.924437921
PM.AU.0072.T.genes.results	 2.65471193	 0.22368616	 0.02512584	 0.55156849	 1.45591881	 6.13790983	 1.17310021	 3.29975933	 0.88205436	11.87692291	 0.02512584	17.21423356	 4.51398678	 1.78001602	 0.02512584	 2.19504222	39.24716349	 0.14223945	 0.34868153	 8.92443792
PM.PS.0008.T.genes.results	 3.299759333	 0.142239454	 0.008988151	 0.882054361	 0.551568493	 6.137909825	 4.513986777	 1.173100207	 1.455918811	17.214233557	 0.286183845	11.876922914	 1.780016019	 2.654711932	 0.037275687	 2.195042217	39.247163493	 0.037275687	 0.286183845	 8.924437921
PM.AU.0050.T.genes.results	 8.92443792	 0.34868153	 0.18296281	 0.55156849	 2.19504222	 3.29975933	 4.51398678	 1.78001602	 1.17310021	17.21423356	 0.18296281	 6.13790983	 2.65471193	 1.45591881	 0.02512584	 0.88205436	39.24716349	 0.02512584	 0.02512584	11.87692291
PM.AA.0066.T.genes.results	 6.13790983	 0.55156849	 0.01705700	 0.34868153	 1.17310021	 3.29975933	 1.45591881	 2.19504222	 0.88205436	11.87692291	 0.14223945	 8.92443792	 4.51398678	 1.78001602	 0.04942553	 2.65471193	39.24716349	 0.01705700	 0.22368616	17.21423356
PM.PU.1003.T.genes.results	 1.45591881	 0.88205436	 0.01705700	 0.22368616	 1.17310021	 3.29975933	 2.19504222	 1.78001602	 0.55156849	11.87692291	 0.34868153	 8.92443792	 2.65471193	 6.13790983	 0.04942553	 4.51398678	39.24716349	 0.01705700	 0.14223945	17.21423356
PM.AU.0065.T.genes.results	 6.137909825	 1.027577284	 0.008988151	 0.223686163	 2.195042217	 2.654711932	 1.780016019	 3.299759333	 1.027577284	11.876922914	 0.037275687	 8.924437921	 4.513986777	 1.455918811	 0.142239454	 0.551568493	17.214233557	 0.037275687	 0.348681526	39.247163493
PM.AU.0005.T.genes.results	 2.195042217	 1.173100207	 0.008988151	 0.142239454	 0.348681526	 4.513986777	 3.299759333	 0.551568493	 0.882054361	11.876922914	 1.780016019	17.214233557	 1.455918811	 2.654711932	 0.049425531	 6.137909825	39.247163493	 0.025125843	 0.223686163	 8.924437921
